EPIC,kepmag,ra,dec,period,period_err1,period_err2,t0,t0_err1,t0_err2,ror,ror_err1,ror_err2,k2oi_name,disposition
201208431, 14.41, 174.745640, -3.905585, 10.0040, -0.0016, +0.0018, 7.5216 , -0.0090, +0.0098, 0.0349, -0.0026, +0.0034, 201208431.01, Planet
201257461, 11.51, 178.161109, -3.094936, 50.2677, -0.0074, +0.0083, 20.3735, -0.0098, +0.0147, 0.0334, -0.0017, +0.0054, 201257461.01, FP
201295312, 12.13, 174.011630, -2.520881, 5.6562 , -0.0007, +0.0007, 3.7228 , -0.0091, +0.0086, 0.0175, -0.0009, +0.0020, 201295312.01, Candidate
201338508, 14.36, 169.303502, -1.877976, 10.9328, -0.0021, +0.0022, 6.5967 , -0.0081, +0.0088, 0.0339, -0.0030, +0.0025, 201338508.01, Planet
201338508, 14.36, 169.303502, -1.877976, 5.7350 , -0.0006, +0.0006, 0.8626 , -0.0055, +0.0054, 0.0331, -0.0023, +0.0025, 201338508.02, Planet
201367065, 11.57, 172.334949, -1.454787, 10.0542, -0.0004, +0.0004, 5.4186 , -0.0018, +0.0018, 0.0354, -0.0011, +0.0022, 201367065.01, Planet
201367065, 11.57, 172.334949, -1.454787, 24.6470, -0.0016, +0.0014, 4.2769 , -0.0029, +0.0030, 0.0272, -0.0013, +0.0016, 201367065.02, Planet
201384232, 12.51, 178.192260, -1.198477, 30.9375, -0.0052, +0.0029, 19.5035, -0.0039, +0.0053, 0.0260, -0.0011, +0.0011, 201384232.01, Planet
201393098, 13.05, 167.093771, -1.065755, 28.6793, -0.0116, +0.0105, 16.6212, -0.0177, +0.0305, 0.0231, -0.0020, +0.0028, 201393098.01, Planet
201403446, 11.99, 174.266344, -0.907261, 19.1535, -0.0050, +0.0050, 7.3437 , -0.0143, +0.0116, 0.0154, -0.0013, +0.0014, 201403446.01, Candidate
201445392, 14.38, 169.793665, -0.284375, 10.3527, -0.0011, +0.0011, 5.6110 , -0.0051, +0.0047, 0.0349, -0.0025, +0.0045, 201445392.01, Candidate
201445392, 14.38, 169.793665, -0.284375, 5.0644 , -0.0006, +0.0006, 5.0690 , -0.0064, +0.0059, 0.0274, -0.0020, +0.0025, 201445392.02, Candidate
201465501, 14.96, 176.264468, 0.005301,  18.4488, -0.0015, +0.0015, 14.6719, -0.0032, +0.0035, 0.0531, -0.0039, +0.0061, 201465501.01, Candidate
201505350, 12.81, 174.960319, 0.603575,  11.9069, -0.0004, +0.0005, 9.2764 , -0.0015, +0.0013, 0.0446, -0.0006, +0.0009, 201505350.01, Planet
201505350, 12.81, 174.960319, 0.603575,  7.9193 , -0.0001, +0.0001, 5.3840 , -0.0008, +0.0006, 0.0747, -0.0013, +0.0016, 201505350.02, Planet
201546283, 12.43, 171.515165, 1.230738,  6.7713 , -0.0001, +0.0001, 4.8453 , -0.0011, +0.0012, 0.0481, -0.0012, +0.0020, 201546283.01, Candidate
201549860, 13.92, 170.103081, 1.285956,  5.6083 , -0.0006, +0.0005, 4.1195 , -0.0047, +0.0045, 0.0283, -0.0023, +0.0041, 201549860.01, Candidate
201555883, 15.06, 176.075940, 1.375947,  5.7966 , -0.0002, +0.0002, 5.3173 , -0.0050, +0.0027, 0.0604, -0.0032, +0.0068, 201555883.01, FP
201565013, 16.91, 176.992193, 1.510249,  8.6381 , -0.0002, +0.0003, 3.4283 , -0.0015, +0.0016, 0.1538, -0.0243, +0.0355, 201565013.01, Candidate
201569483, 11.77, 167.171299, 1.577513,  5.7969 , -0.0000, +0.0000, 5.3130 , -0.0003, +0.0002, 0.3587, -0.0334, +0.0379, 201569483.01, FP
201577035, 12.30, 172.121957, 1.690636,  19.3062, -0.0013, +0.0013, 11.5790, -0.0027, +0.0025, 0.0380, -0.0012, +0.0023, 201577035.01, Planet
201596316, 13.15, 169.042002, 1.986840,  39.8415, -0.0155, +0.0136, 21.8572, -0.0101, +0.0120, 0.0267, -0.0022, +0.0034, 201596316.01, Candidate
201613023, 12.14, 173.192036, 2.244884,  8.2818 , -0.0007, +0.0006, 7.3752 , -0.0052, +0.0055, 0.0205, -0.0008, +0.0012, 201613023.01, Planet
201617985, 14.11, 179.491659, 2.321476,  7.2823 , -0.0008, +0.0007, 4.6337 , -0.0050, +0.0050, 0.0333, -0.0032, +0.0072, 201617985.01, Candidate
201629650, 12.73, 170.155528, 2.502696,  40.0492, -0.0259, +0.0186, 4.5363 , -0.0172, +0.0202, 0.0241, -0.0020, +0.0025, 201629650.01, Planet
201635569, 15.55, 178.057026, 2.594245,  8.3681 , -0.0002, +0.0002, 3.4514 , -0.0014, +0.0015, 0.0991, -0.0078, +0.0120, 201635569.01, Candidate
201649426, 13.22, 177.234262, 2.807619,  27.7704, -0.0001, +0.0001, 13.3476, -0.0002, +0.0001, 0.4365, -0.0583, +0.0777, 201649426.01, FP
201702477, 14.43, 175.240794, 3.681584,  40.7365, -0.0025, +0.0026, 3.5451 , -0.0025, +0.0026, 0.0808, -0.0114, +0.0043, 201702477.01, Planet
201736247, 14.40, 178.110797, 4.254747,  11.8106, -0.0019, +0.0016, 3.8483 , -0.0071, +0.0093, 0.0347, -0.0024, +0.0030, 201736247.01, Planet
201754305, 14.30, 175.097258, 4.557340,  19.0726, -0.0049, +0.0048, 1.4893 , -0.0133, +0.0128, 0.0297, -0.0030, +0.0042, 201754305.01, Planet
201754305, 14.30, 175.097258, 4.557340,  7.6202 , -0.0011, +0.0012, 3.6813 , -0.0057, +0.0061, 0.0281, -0.0026, +0.0034, 201754305.02, Planet
201779067, 11.12, 168.542699, 4.988131,  27.2429, -0.0001, +0.0001, 12.2599, -0.0003, +0.0002, 0.2535, -0.0259, +0.0369, 201779067.01, FP
201828749, 11.56, 175.654342, 5.894323,  33.5093, -0.0018, +0.0023, 5.1554 , -0.0032, +0.0037, 0.0267, -0.0020, +0.0021, 201828749.01, Candidate
201855371, 13.00, 178.329775, 6.412261,  17.9715, -0.0017, +0.0015, 9.9412 , -0.0038, +0.0033, 0.0311, -0.0017, +0.0030, 201855371.01, Planet
201912552, 12.47, 172.560460, 7.588391,  32.9410, -0.0032, +0.0039, 28.1834, -0.0105, +0.0057, 0.0513, -0.0056, +0.0035, 201912552.01, Planet
201929294, 12.97, 174.656969, 7.959611,  5.0084 , -0.0001, +0.0001, 4.5703 , -0.0012, +0.0022, 0.1163, -0.0014, +0.0011, 201929294.01, FP
